,Player,Nationality,Position,Club Team,League,Age,Matches Played,Goals,Assists,Expected Goals
1449,Jean-Louis Leca,fr FRA,GK,Lens,fr Ligue 1,37,1,0,0,0.0
1450,Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,32,30,0,1,0.0
1451,Jeremías Ledesma,ar ARG,GK,Cádiz,es La Liga,30,34,0,0,0.0
1452,Pierre Lees-Melou,fr FRA,MF,Brest,fr Ligue 1,30,29,4,0,2.4
1453,Diogo Leite,pt POR,DF,Union Berlin,de Bundesliga,24,32,0,0,0.8
1454,Maxim Leitsch,de GER,DF,Mainz 05,de Bundesliga,25,7,0,0,0.0
1455,Florian Lejeune,fr FRA,DF,Rayo Vallecano,es La Liga,32,37,3,1,3.3
1456,Stefan Lekovic,rs SRB,DF,Villarreal,es La Liga,19,1,0,0,0.0
1457,Iñigo Lekue,es ESP,DF,Athletic Club,es La Liga,30,27,0,2,0.2
1458,Thomas Lemar,fr FRA,MF,Atlético Madrid,es La Liga,27,3,0,0,0.2
1459,Mario Lemina,ga GAB,MF,Wolves,eng Premier League,29,35,4,1,4.6
1460,Álvaro Lemos,es ESP,DF,Las Palmas,es La Liga,30,4,0,0,0.0
1461,Ruben Lendinez,es ESP,DF,Valencia,es La Liga,20,1,0,0,0.0
1462,Clément Lenglet,fr FRA,DF,Aston Villa,eng Premier League,28,14,0,1,0.9
1463,Bernd Leno,de GER,GK,Fulham,eng Premier League,31,38,0,0,0.0
1464,Christopher Lenz,de GER,"DF,MF",RB Leipzig,de Bundesliga,28,5,0,0,0.0
1465,Christopher Lenz,de GER,DF,Eint Frankfurt,de Bundesliga,28,1,0,0,0.0
1466,Johann Lepenant,fr FRA,MF,Lyon,fr Ligue 1,20,6,0,0,0.1
1467,Jefferson Lerma,co COL,"MF,DF",Crystal Palace,eng Premier League,28,28,1,1,2.7
1468,Léo Leroy,fr FRA,MF,Montpellier,fr Ligue 1,23,21,0,1,0.8
1469,Robert Lewandowski,pl POL,FW,Barcelona,es La Liga,34,35,19,8,18.1
1470,Jamie Leweling,de GER,"FW,MF",Stuttgart,de Bundesliga,22,34,4,4,6.1
1471,Rico Lewis,eng ENG,"DF,MF",Manchester City,eng Premier League,18,16,2,0,0.6
1472,Keane Lewis-Potter,eng ENG,"FW,DF",Brentford,eng Premier League,22,30,3,1,6.3
1473,Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,27,15,1,0,1.1
1474,Matthijs de Ligt,nl NED,DF,Bayern Munich,de Bundesliga,23,22,2,0,1.7
1475,Victor Lindelöf,se SWE,DF,Manchester Utd,eng Premier League,29,19,1,1,0.8
1476,Jesper Lindstrøm,dk DEN,"FW,MF",Napoli,it Serie A,23,22,0,0,0.7
1477,Jesper Lindstrøm,dk DEN,FW,Eint Frankfurt,de Bundesliga,23,1,0,0,0.2
1478,Karol Linetty,pl POL,MF,Torino,it Serie A,28,28,0,0,0.5
1479,Samuel Lino,br BRA,"DF,MF",Atlético Madrid,es La Liga,23,34,4,5,5.6
1480,Luca Lipani,it ITA,MF,Sassuolo,it Serie A,18,8,0,0,0.1
1481,Pol Lirola,es ESP,DF,Frosinone,it Serie A,25,25,2,1,1.3
1482,Marcin Listkowski,pl POL,FW,Lecce,it Serie A,25,1,0,0,0.0
1483,Valentino Livramento,eng ENG,DF,Newcastle Utd,eng Premier League,20,26,1,0,0.4
1484,Dejan Ljubicic,at AUT,"MF,FW",Köln,de Bundesliga,25,26,0,2,1.9
1485,Javier Llabrés,es ESP,"MF,FW",Mallorca,es La Liga,20,16,1,0,0.7
1486,Diego Llorente,es ESP,DF,Roma,it Serie A,29,29,1,1,0.3
1487,Marcos Llorente,es ESP,"MF,DF",Atlético Madrid,es La Liga,28,37,6,4,4.1
1488,Gautier Lloris,fr FRA,DF,Le Havre,fr Ligue 1,28,31,2,0,2.1
1489,Abou Lô,sn SEN,"MF,DF",Metz,fr Ligue 1,23,6,0,0,0.1
1490,Giovani Lo Celso,ar ARG,MF,Tottenham,eng Premier League,27,22,2,2,0.6
1491,Stanislav Lobotka,sk SVK,MF,Napoli,it Serie A,28,38,0,1,0.6
1492,Manuel Locatelli,it ITA,MF,Juventus,it Serie A,25,36,1,4,1.3
1493,Bradley Locko,fr FRA,DF,Brest,fr Ligue 1,21,33,0,3,0.3
1494,Tom Lockyer,wls WAL,DF,Luton Town,eng Premier League,28,14,1,1,1.1
1495,Renan Lodi,br BRA,DF,Marseille,fr Ligue 1,25,14,0,0,0.3
1496,Ruben Loftus-Cheek,eng ENG,MF,Milan,it Serie A,27,29,6,1,3.7
1497,Andy Logbo,fr FRA,FW,Le Havre,fr Ligue 1,19,10,0,0,0.3
1498,Enzo Loiodice,fr FRA,MF,Las Palmas,es La Liga,22,34,0,1,0.5
1499,Sean Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,25,35,6,2,6.6
1500,Ademola Lookman,ng NGA,"FW,MF",Atalanta,it Serie A,25,31,11,7,9.1
1501,Noah Loosli,ch SUI,DF,Bochum,de Bundesliga,26,10,0,0,0.0
1502,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,32,31,0,0,0.0
1503,David López,es ESP,DF,Girona,es La Liga,33,25,3,0,2.1
1504,Diego López,es ESP,"MF,FW",Valencia,es La Liga,21,36,3,6,3.7
1505,Fermin López,es ESP,"MF,FW",Barcelona,es La Liga,20,31,8,0,7.5
1506,Javi López,es ESP,DF,Alavés,es La Liga,21,32,1,3,0.9
1507,Maxime Lopez,fr FRA,MF,Fiorentina,it Serie A,25,19,0,0,0.2
1508,Maxime Lopez,fr FRA,MF,Sassuolo,it Serie A,25,2,0,0,0.0
1509,Pau López,es ESP,GK,Marseille,fr Ligue 1,28,33,0,0,0.0
1510,Unai López,es ESP,MF,Rayo Vallecano,es La Liga,27,35,1,2,1.1
1511,Dion Lopy,sn SEN,MF,Almería,es La Liga,21,30,0,0,1.3
1512,Anthony Losilla,fr FRA,MF,Bochum,de Bundesliga,37,31,1,2,2.3
1513,Jordan Lotomba,ch SUI,DF,Nice,fr Ligue 1,24,28,1,0,0.9
1514,Tom Louchet,fr FRA,"MF,DF",Nice,fr Ligue 1,20,13,1,1,1.0
1515,Imran Louza,ma MAR,MF,Lorient,fr Ligue 1,24,14,1,3,1.1
1516,Matteo Lovato,it ITA,DF,Torino,it Serie A,23,13,0,0,0.0
1517,Matteo Lovato,it ITA,DF,Salernitana,it Serie A,23,13,0,0,0.0
1518,Dejan Lovren,hr CRO,DF,Lyon,fr Ligue 1,34,10,0,0,0.4
1519,Sandi Lovrić,si SVN,MF,Udinese,it Serie A,25,29,1,3,3.5
1520,Max Lowe,eng ENG,"DF,MF",Sheffield Utd,eng Premier League,26,10,0,0,0.6
1521,Anthony Lozano,hn HON,"MF,FW",Getafe,es La Liga,30,6,0,0,0.2
1522,Anthony Lozano,hn HON,FW,Almería,es La Liga,30,13,3,0,3.3
1523,Lucas,br BRA,DF,Cádiz,es La Liga,22,28,1,0,0.8
1524,Lorenzo Lucca,it ITA,FW,Udinese,it Serie A,22,37,8,4,7.8
1525,Jhon Lucumí,co COL,DF,Bologna,it Serie A,25,29,0,0,0.8
1526,José Luis Gayà,es ESP,DF,Valencia,es La Liga,28,24,1,2,0.5
1527,José Luis Morales,es ESP,"FW,MF",Villarreal,es La Liga,36,29,7,0,5.6
1528,José Luis Palomino,ar ARG,DF,Atalanta,it Serie A,33,4,0,0,0.0
1529,Douglas Luiz,br BRA,MF,Aston Villa,eng Premier League,25,35,9,5,6.9
1530,Romelu Lukaku,be BEL,FW,Roma,it Serie A,30,32,13,3,9.8
1531,Castello Lukeba,fr FRA,DF,RB Leipzig,de Bundesliga,20,32,1,0,0.8
1532,Dodi Lukebakio,be BEL,"FW,MF",Sevilla,es La Liga,25,23,5,1,5.6
1533,Saša Lukić,rs SRB,MF,Fulham,eng Premier League,26,24,1,0,1.6
1534,Karlo Lulić,hr CRO,MF,Frosinone,it Serie A,27,1,0,0,0.0
1535,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,24,21,0,0,0.0
1536,Sebastiano Luperto,it ITA,DF,Empoli,it Serie A,26,38,1,1,1.7
1537,Mateus Lusuardi,br BRA,DF,Frosinone,it Serie A,19,4,0,0,0.1
1538,Andreas Luthe,de GER,GK,Bochum,de Bundesliga,36,1,0,0,0.0
1539,Zito Luvumbo,ao ANG,"FW,MF",Cagliari,it Serie A,21,30,4,5,4.0
1540,Charalambos Lykogiannis,gr GRE,DF,Bologna,it Serie A,29,22,2,1,1.3
1541,Senne Lynen,be BEL,MF,Werder Bremen,de Bundesliga,24,32,0,3,0.4
1542,Joshua M'Bahia,ci CIV,MF,Clermont Foot,fr Ligue 1,18,1,0,0,0.0
1543,Othmane Maamma,ma MAR,FW,Montpellier,fr Ligue 1,17,2,1,0,0.3
1544,Ian Maatsen,nl NED,"FW,MF",Chelsea,eng Premier League,21,12,0,0,0.8
1545,Ian Maatsen,nl NED,DF,Dortmund,de Bundesliga,21,16,2,2,0.9
1546,Alexis Mac Allister,ar ARG,MF,Liverpool,eng Premier League,24,33,5,5,3.7
1547,Deiver Machado,co COL,DF,Lens,fr Ligue 1,29,19,4,0,1.7
1548,Darwin Machís,ve VEN,MF,Cádiz,es La Liga,30,21,4,0,1.4
1549,James Maddison,eng ENG,MF,Tottenham,eng Premier League,26,28,4,9,6.4
1550,Noni Madueke,eng ENG,FW,Chelsea,eng Premier League,21,23,5,2,2.5
1551,Pablo Maffeo,es ESP,DF,Mallorca,es La Liga,26,22,1,2,0.8
1552,Gabriel Magalhães,br BRA,DF,Arsenal,eng Premier League,25,36,4,0,4.3
1553,Soungoutou Magassa,fr FRA,"DF,MF",Monaco,fr Ligue 1,19,21,0,0,0.6
1554,Giulio Maggiore,it ITA,MF,Salernitana,it Serie A,25,27,4,2,2.3
1555,Matej Maglica,hr CRO,DF,Darmstadt 98,de Bundesliga,24,26,1,0,0.6
1556,Giangiacomo Magnani,it ITA,DF,Hellas Verona,it Serie A,27,33,0,0,0.5
1557,Hugo Magnetti,fr FRA,MF,Brest,fr Ligue 1,25,33,2,0,2.4
1558,Yohann Magnin,fr FRA,MF,Clermont Foot,fr Ligue 1,26,31,1,0,1.6
1559,Frank Magri,cm CMR,"FW,MF",Toulouse,fr Ligue 1,23,29,5,2,3.1
1560,Harry Maguire,eng ENG,DF,Manchester Utd,eng Premier League,30,22,2,2,2.0
1561,Jon Magunacelaya,es ESP,"FW,MF",Real Sociedad,es La Liga,23,5,0,0,0.3
1562,Adel Mahamoud,km COM,FW,Nantes,fr Ligue 1,20,1,0,0,0.0
1563,Arne Maier,de GER,MF,Augsburg,de Bundesliga,24,22,2,4,1.5
1564,Habib Maïga,ci CIV,"MF,FW",Metz,fr Ligue 1,27,7,0,0,0.1
1565,Mike Maignan,fr FRA,GK,Milan,it Serie A,28,29,0,1,0.0
1566,Linton Maina,de GER,"FW,MF",Köln,de Bundesliga,24,31,1,3,1.9
1567,Patrick Mainka,de GER,DF,Heidenheim,de Bundesliga,28,34,2,0,3.2
1568,Kobbie Mainoo,eng ENG,MF,Manchester Utd,eng Premier League,18,24,3,1,0.9
1569,Ainsley Maitland-Niles,eng ENG,"DF,MF",Lyon,fr Ligue 1,25,23,1,4,3.0
1570,Radosław Majecki,pl POL,GK,Monaco,fr Ligue 1,23,12,0,0,0.0
1571,Lovro Majer,hr CRO,MF,Rennes,fr Ligue 1,25,1,0,0,0.0
1572,Lovro Majer,hr CRO,"MF,FW",Wolfsburg,de Bundesliga,25,32,5,5,5.4
1573,Jean-Victor Makengo,fr FRA,"MF,FW",Lorient,fr Ligue 1,25,11,0,0,0.3
1574,Jordy Makengo,fr FRA,DF,Freiburg,de Bundesliga,21,20,0,0,0.2
1575,Antoine Makoumbou,cg CGO,MF,Cagliari,it Serie A,25,32,1,0,0.7
1576,Nemanja Maksimović,rs SRB,MF,Getafe,es La Liga,28,37,4,0,5.5
1577,Julián Malatini,ar ARG,DF,Werder Bremen,de Bundesliga,22,11,1,0,1.0
1578,Daniel Maldini,it ITA,"MF,FW",Monza,it Serie A,21,11,4,1,1.3
1579,Daniel Maldini,it ITA,"FW,MF",Empoli,it Serie A,21,7,0,0,0.3
1580,Youssef Maleh,ma MAR,MF,Empoli,it Serie A,24,34,0,1,1.6
1581,Donyell Malen,nl NED,"FW,MF",Dortmund,de Bundesliga,24,27,13,1,9.5
1582,Ruslan Malinovskyi,ua UKR,MF,Genoa,it Serie A,30,28,4,1,1.1
1583,Lennard Maloney,us USA,MF,Heidenheim,de Bundesliga,23,29,1,1,0.8
1584,Aaron Malouda,fr FRA,FW,Lille,fr Ligue 1,17,1,0,0,0.0
1585,Giorgi Mamardashvili,ge GEO,GK,Valencia,es La Liga,22,37,0,0,0.0
1586,David Mamutovic,de GER,"FW,DF",Mainz 05,de Bundesliga,22,2,0,0,0.0
1587,Wilson Manafá,pt POR,"DF,MF",Granada,es La Liga,29,4,0,0,0.0
1588,Hianga Mananga Mbock,fr FRA,"MF,FW",Brest,fr Ligue 1,23,2,0,0,0.1
1589,Gianluca Mancini,it ITA,DF,Roma,it Serie A,27,36,4,1,1.9
1590,Marco Mancosu,it ITA,"MF,FW",Cagliari,it Serie A,34,6,0,0,1.2
1591,Steve Mandanda,fr FRA,GK,Rennes,fr Ligue 1,38,34,0,0,0.0
1592,Christos Mandas,gr GRE,GK,Lazio,it Serie A,21,9,0,0,0.0
1593,Reinildo Mandava,mz MOZ,DF,Atlético Madrid,es La Liga,29,16,2,1,0.9
1594,Aïssa Mandi,dz ALG,DF,Villarreal,es La Liga,31,16,1,0,0.6
1595,Rolando Mandragora,it ITA,MF,Fiorentina,it Serie A,26,33,3,3,3.5
1596,Orel Mangala,be BEL,MF,Nott'ham Forest,eng Premier League,25,20,1,0,0.8
1597,Orel Mangala,be BEL,MF,Lyon,fr Ligue 1,25,8,2,0,1.0
1598,Vito Mannone,it ITA,GK,Lille,fr Ligue 1,35,2,0,0,0.0
1599,Kostas Manolas,gr GRE,DF,Salernitana,it Serie A,32,8,0,0,0.1
1600,Javier Manquillo,es ESP,"DF,MF",Celta Vigo,es La Liga,29,12,0,1,0.1
1601,Braydon Manu,gh GHA,MF,Darmstadt 98,de Bundesliga,26,4,0,0,0.4
1602,Benson Manuel,ao ANG,"MF,FW",Burnley,eng Premier League,26,8,0,0,0.1
1603,Faitout Maouassa,fr FRA,"DF,MF",Granada,es La Liga,25,6,0,1,0.2
1604,Faitout Maouassa,fr FRA,"MF,DF",Lens,fr Ligue 1,25,3,0,0,0.1
1605,Marcão,br BRA,DF,Sevilla,es La Liga,27,7,0,0,0.0
1606,Solly March,eng ENG,"FW,DF",Brighton,eng Premier League,29,7,3,1,2.0
1607,Riccardo Marchizza,it ITA,DF,Frosinone,it Serie A,25,13,0,4,0.4
1608,Gian Marco Ferrari,it ITA,DF,Sassuolo,it Serie A,31,31,1,0,1.6
1609,Óscar de Marcos,es ESP,DF,Athletic Club,es La Liga,34,28,1,5,0.6
1610,Alberto Marí,es ESP,FW,Valencia,es La Liga,22,16,1,1,1.8
1611,José Mari,es ESP,"MF,FW",Cádiz,es La Liga,35,3,0,0,0.0
1612,Pablo Marí,es ESP,DF,Monza,it Serie A,29,34,0,0,0.4
1613,José María Giménez,uy URU,DF,Atlético Madrid,es La Liga,28,22,0,0,0.4
1614,Mariano,do DOM,"FW,MF",Sevilla,es La Liga,29,9,0,0,1.2
1615,Mirko Marić,hr CRO,FW,Monza,it Serie A,28,10,1,0,0.9
1616,Rafa Marín,es ESP,DF,Alavés,es La Liga,21,33,0,0,0.7
1617,Răzvan Marin,ro ROU,MF,Empoli,it Serie A,27,30,0,3,1.1
1618,Diego Mariño,es ESP,GK,Almería,es La Liga,33,1,0,0,0.0
1619,Guillermo Maripán,cl CHI,DF,Monaco,fr Ligue 1,29,23,1,0,0.4
1620,Mika Màrmol,es ESP,DF,Las Palmas,es La Liga,21,36,0,1,0.2
1621,Omar Marmoush,eg EGY,"FW,MF",Eint Frankfurt,de Bundesliga,24,29,12,6,11.6
1622,Marquinhos,br BRA,"FW,MF",Nantes,fr Ligue 1,20,7,0,0,0.3
1623,Marquinhos,br BRA,DF,Paris S-G,fr Ligue 1,29,21,0,1,0.4
1624,Unai Marrero,es ESP,GK,Real Sociedad,es La Liga,21,2,0,0,0.0
1625,Agustín Martegani,ar ARG,MF,Salernitana,it Serie A,23,18,1,0,0.6
1626,Eric Martel,de GER,MF,Köln,de Bundesliga,21,30,1,1,2.2
1627,Roger Martí,es ESP,FW,Cádiz,es La Liga,32,23,2,3,2.8
1628,Anthony Martial,fr FRA,FW,Manchester Utd,eng Premier League,27,13,1,0,1.2
1629,Aarón Martín,es ESP,DF,Genoa,it Serie A,26,22,0,1,0.2
1630,Iván Martín,es ESP,MF,Girona,es La Liga,24,36,5,4,2.9
1631,Jon Martin,es ESP,DF,Real Sociedad,es La Liga,17,1,0,0,0.0
1632,Jonas Martin,fr FRA,MF,Brest,fr Ligue 1,33,31,0,1,1.2
1633,Mario Martín,es ESP,MF,Real Madrid,es La Liga,19,2,0,0,0.0
1634,Gabriel Martinelli,br BRA,FW,Arsenal,eng Premier League,22,35,6,4,6.8
1635,Tommaso Martinelli,it ITA,GK,Fiorentina,it Serie A,17,1,0,0,0.0
1636,Arnau Martinez,es ESP,DF,Girona,es La Liga,20,21,0,2,0.2
1637,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,30,34,0,0,0.0
1638,Iñigo Martínez,es ESP,DF,Barcelona,es La Liga,32,20,0,0,0.4
1639,Josep Martinez,es ESP,GK,Genoa,it Serie A,25,36,0,0,0.0
1640,Lautaro Martínez,ar ARG,FW,Inter,it Serie A,25,33,24,3,17.6
1641,Lisandro Martínez,ar ARG,DF,Manchester Utd,eng Premier League,25,11,0,1,0.0
1642,Marc Martínez,es ESP,GK,Granada,es La Liga,33,3,0,0,0.0
1643,Lucas Martínez Quarta,ar ARG,DF,Fiorentina,it Serie A,27,29,5,1,2.7
1644,Adam Marušić,me MNE,DF,Lazio,it Serie A,30,37,1,0,0.4
1645,Marvin,es ESP,"FW,DF",Las Palmas,es La Liga,23,31,0,2,0.9
1646,Omar Mascarell,gq EQG,MF,Mallorca,es La Liga,30,29,0,0,0.4
1647,Adam Masina,ma MAR,DF,Udinese,it Serie A,29,4,0,0,0.1
1648,Adam Masina,ma MAR,DF,Torino,it Serie A,29,16,0,0,0.2
1649,Erhan Mašović,rs SRB,"DF,MF",Bochum,de Bundesliga,24,29,0,0,1.1
1650,Han-Noah Massengo,fr FRA,"MF,DF",Burnley,eng Premier League,22,3,0,0,0.0
1651,Roberto Massimo,de GER,"FW,DF",Stuttgart,de Bundesliga,22,5,0,0,0.0
1652,Clinton Mata,ao ANG,DF,Lyon,fr Ligue 1,30,28,0,3,0.6
1653,Jaime Mata,es ESP,"FW,MF",Getafe,es La Liga,34,35,5,1,5.6
1654,Pape Matar Sarr,sn SEN,MF,Tottenham,eng Premier League,20,34,3,3,3.4
1655,Eliot Matazo,be BEL,MF,Monaco,fr Ligue 1,21,6,0,1,0.1
1656,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,eng Premier League,26,35,16,5,10.9
1657,Nemanja Matić,rs SRB,MF,Rennes,fr Ligue 1,34,13,0,0,0.3
1658,Nemanja Matić,rs SRB,MF,Lyon,fr Ligue 1,34,15,0,0,0.3
1659,Joël Matip,cm CMR,DF,Liverpool,eng Premier League,31,10,0,0,0.5
1660,Alex Matos,eng ENG,MF,Chelsea,eng Premier League,18,1,0,0,0.0
1661,Chrislain Matsima,fr FRA,DF,Clermont Foot,fr Ligue 1,21,14,1,0,0.2
1662,Chrislain Matsima,fr FRA,DF,Monaco,fr Ligue 1,21,6,0,1,0.1
1663,Jean Mattéo Bahoya,fr FRA,"MF,FW",Eint Frankfurt,de Bundesliga,18,8,0,0,0.0
1664,Remi Matthews,eng ENG,GK,Crystal Palace,eng Premier League,29,1,0,0,0.0
1665,Alan Matturro,uy URU,DF,Genoa,it Serie A,18,6,0,0,0.1
1666,Azor Matusiwa,nl NED,MF,Reims,fr Ligue 1,25,16,1,0,0.7
1667,Azor Matusiwa,nl NED,MF,Rennes,fr Ligue 1,25,12,0,1,0.3
1668,Neal Maupay,fr FRA,FW,Brentford,eng Premier League,26,29,6,3,5.7
1669,Neal Maupay,fr FRA,FW,Everton,eng Premier League,26,2,0,0,1.4
1670,Aïman Maurer,ma MAR,"MF,FW",Clermont Foot,fr Ligue 1,18,5,0,0,0.1
1671,Konstantinos Mavropanos,gr GRE,DF,West Ham,eng Premier League,25,19,1,0,1.2
1672,Christian Mawissa,fr FRA,DF,Toulouse,fr Ligue 1,18,17,2,0,1.0
1673,Philipp Max,de GER,DF,Eint Frankfurt,de Bundesliga,29,23,1,2,0.2
1674,Eric Maxim Choupo-Moting,cm CMR,"MF,FW",Bayern Munich,de Bundesliga,34,27,2,2,4.5
1675,Luís Maximiano,pt POR,GK,Almería,es La Liga,24,33,0,0,0.0
1676,Noam Mayoka-Tika,be BEL,MF,Marseille,fr Ligue 1,19,1,0,0,0.0
1677,Borja Mayoral,es ESP,FW,Getafe,es La Liga,26,27,15,1,11.9
1678,Senny Mayulu,fr FRA,"FW,MF",Paris S-G,fr Ligue 1,17,8,0,1,0.1
1679,Youssef Maziz,fr FRA,"FW,MF",Metz,fr Ligue 1,25,2,1,0,0.1
1680,Noussair Mazraoui,ma MAR,DF,Bayern Munich,de Bundesliga,25,19,0,3,0.9
1681,Luca Mazzitelli,it ITA,MF,Frosinone,it Serie A,27,29,5,0,2.3
1682,Pasquale Mazzocchi,it ITA,DF,Salernitana,it Serie A,28,18,0,1,0.3
1683,Pasquale Mazzocchi,it ITA,DF,Napoli,it Serie A,28,10,0,1,0.2
1684,Kevin Mbabu,ch SUI,DF,Augsburg,de Bundesliga,28,25,0,2,0.1
1685,Noah Mbamba,be BEL,MF,Leverkusen,de Bundesliga,18,3,0,1,0.0
1686,Ethan Mbappé,fr FRA,"MF,DF",Paris S-G,fr Ligue 1,16,3,0,0,0.1
1687,Kylian Mbappé,fr FRA,FW,Paris S-G,fr Ligue 1,24,29,27,7,21.0
1688,Malick Mbaye,sn SEN,"MF,FW",Metz,fr Ligue 1,19,5,0,0,0.4
1689,Mamadou Mbaye,sn SEN,DF,Cádiz,es La Liga,25,4,0,0,0.3
1690,Chancel Mbemba,cd COD,DF,Marseille,fr Ligue 1,28,25,2,2,1.8
1691,Nolan Mbemba,cg CGO,MF,Le Havre,fr Ligue 1,28,6,1,0,0.0
1692,Bryan Mbeumo,cm CMR,FW,Brentford,eng Premier League,23,25,9,6,9.8
1693,Christ Mbondi,fr FRA,FW,Reims,fr Ligue 1,18,1,0,0,0.0
1694,Jordi Mboula,es ESP,"FW,MF",Hellas Verona,it Serie A,24,11,0,1,0.2
1695,Nathanael Mbuku,cd COD,FW,Augsburg,de Bundesliga,21,1,0,0,0.0
1696,James Mcatee,eng ENG,"MF,FW",Sheffield Utd,eng Premier League,20,30,3,3,3.1
1697,James Mcatee,eng ENG,MF,Manchester City,eng Premier League,20,1,0,0,0.0
1698,Oliver McBurnie,sct SCO,FW,Sheffield Utd,eng Premier League,27,21,6,3,6.9
1699,James McConnell,eng ENG,MF,Liverpool,eng Premier League,18,3,0,0,0.0
1700,John McGinn,sct SCO,"MF,FW",Aston Villa,eng Premier League,28,35,6,4,5.0
1701,Scott McKenna,sct SCO,DF,Nott'ham Forest,eng Premier League,26,5,0,0,0.2
1702,Weston McKennie,us USA,"MF,DF",Juventus,it Serie A,24,34,0,7,3.0
1703,Dwight McNeil,eng ENG,"MF,FW",Everton,eng Premier League,23,35,3,6,3.4
1704,Scott McTominay,sct SCO,"MF,FW",Manchester Utd,eng Premier League,26,32,7,1,5.7
1705,Facundo Medina,ar ARG,DF,Lens,fr Ligue 1,24,31,1,3,1.1
1706,Ben Mee,eng ENG,DF,Brentford,eng Premier League,33,16,2,0,1.5
1707,Marvin Mehlem,de GER,MF,Darmstadt 98,de Bundesliga,25,20,3,2,3.8
1708,Bamo Meïté,ci CIV,DF,Marseille,fr Ligue 1,21,16,0,0,0.1
1709,Bamo Meïté,ci CIV,DF,Lorient,fr Ligue 1,21,2,0,0,0.0
1710,Hannibal Mejbri,tn TUN,"MF,FW",Manchester Utd,eng Premier League,20,5,1,0,0.0
1711,Hannibal Mejbri,tn TUN,MF,Sevilla,es La Liga,20,6,0,0,0.0
1712,Óscar Melendo,es ESP,"MF,FW",Granada,es La Liga,25,26,0,0,0.4
1713,Gonzalo Melero,es ESP,"MF,FW",Almería,es La Liga,29,28,1,1,2.0
1714,Birger Meling,no NOR,DF,Rennes,fr Ligue 1,28,1,0,0,0.2
1715,Arthur Melo,br BRA,MF,Fiorentina,it Serie A,26,33,2,3,1.0
1716,Memphis,nl NED,FW,Atlético Madrid,es La Liga,29,23,5,1,5.8
1717,Houboulang Mendes,gw GNB,DF,Almería,es La Liga,25,7,0,0,0.0
1718,Nuno Mendes,pt POR,DF,Paris S-G,fr Ligue 1,21,6,1,1,0.3
1719,Tomás Mendes,es ESP,MF,Alavés,es La Liga,18,1,0,0,0.0
1720,Brais Méndez,es ESP,"MF,FW",Real Sociedad,es La Liga,26,32,5,6,4.2
1721,Bruno Méndez,uy URU,DF,Granada,es La Liga,23,17,2,0,0.6
1722,Diego Méndez,es ESP,MF,Rayo Vallecano,es La Liga,19,1,0,0,0.0
1723,Leonardo Mendicino,it ITA,MF,Atalanta,it Serie A,17,1,0,0,0.0
1724,Antoine Mendy,fr FRA,DF,Nice,fr Ligue 1,19,10,0,0,0.1
1725,Benjamin Mendy,fr FRA,DF,Lorient,fr Ligue 1,29,15,2,1,1.1
1726,Ferland Mendy,fr FRA,DF,Real Madrid,es La Liga,28,23,0,0,0.2
1727,Formose Mendy,sn SEN,DF,Lorient,fr Ligue 1,22,18,0,0,0.3
1728,Nampalys Mendy,sn SEN,MF,Lens,fr Ligue 1,31,16,0,1,0.2
1729,Teden Mengi,eng ENG,DF,Luton Town,eng Premier League,21,30,1,0,0.6
1730,Chris Mepham,wls WAL,DF,Bournemouth,eng Premier League,25,10,0,1,0.1
1731,Jorge Meré,es ESP,DF,Cádiz,es La Liga,26,10,0,0,0.2
1732,Alex Meret,it ITA,GK,Napoli,it Serie A,26,31,0,0,0.0
1733,Mikel Merino,es ESP,MF,Real Sociedad,es La Liga,27,32,5,3,3.3
1734,Quentin Merlin,fr FRA,DF,Marseille,fr Ligue 1,21,10,0,1,0.1
1735,Quentin Merlin,fr FRA,DF,Nantes,fr Ligue 1,21,16,0,1,0.7
1736,Junior Messias,br BRA,"MF,DF",Genoa,it Serie A,32,18,1,0,1.6
1737,Thomas Meunier,be BEL,DF,Dortmund,de Bundesliga,31,8,0,0,0.5
1738,Bastien Meupiyou,fr FRA,DF,Nantes,fr Ligue 1,17,1,0,0,0.0
1739,Alexander Meyer,de GER,GK,Dortmund,de Bundesliga,32,8,0,0,0.0
1740,Omenuke Mfulu,cd COD,"MF,FW",Las Palmas,es La Liga,29,5,0,0,0.0
1741,Lucas Michal,fr FRA,FW,Monaco,fr Ligue 1,18,1,0,0,0.0
1742,Sven Michel,de GER,"FW,MF",Augsburg,de Bundesliga,33,22,2,1,2.4
1743,Miguel,es ESP,"FW,MF",Alavés,es La Liga,23,3,0,0,0.1
1744,Georges Mikautadze,ge GEO,FW,Metz,fr Ligue 1,22,20,13,4,9.5
1745,Nikola Milenković,rs SRB,DF,Fiorentina,it Serie A,25,34,0,0,0.4
1746,Lewis Miley,eng ENG,MF,Newcastle Utd,eng Premier League,17,17,1,3,1.2
1747,Arkadiusz Milik,pl POL,FW,Juventus,it Serie A,29,32,4,1,5.1
