Player,Overall,Goals,Assists,Expected Goals,Pace,Shooting,Passing,Dribbling,Defending,Physicality,National Team,League,Club Team,Age,Height_cm,Weight_kg,Position
Florian Dietz,64,0,0,0.3,73,62,43,57,25,71,Germany,Bundesliga,Köln,26,190,83,ST
Lucas Digne,79,1,3,1.1,73,68,78,76,76,74,France,Premier League,Aston Villa,31,178,74,LB
Federico Dimarco,84,5,6,2.9,80,77,84,83,78,81,Italy,Serie A,Inter,26,174,76,LB
Stole Dimitrievski,79,0,0,0.0,78,80,74,79,36,78,North Macedonia,La Liga,Rayo Vallecano,30,188,84,GK
Junior Dina Ebimbe,76,5,3,5.0,85,63,71,76,70,78,France,Bundesliga,Eint Frankfurt,23,184,80,RM
Eren Dinkçi,76,10,5,4.3,91,75,68,75,31,59,Germany,Bundesliga,Heidenheim,22,188,70,RM
Edan Diop,66,0,0,0.0,73,60,63,68,41,49,France,Ligue 1,Monaco,20,173,70,RM
Issa Diop,77,0,0,0.3,57,37,53,55,77,80,France,Premier League,Fulham,27,194,92,CB
Sofiane Diop,76,0,0,1.2,70,70,75,81,54,53,Morocco,Ligue 1,Nice,24,175,65,LW
Andy Diouf,74,1,0,1.5,75,68,71,75,67,75,France,Ligue 1,Lens,21,187,81,CM
Yehvann Diouf,77,0,0,0.0,77,75,73,78,45,75,France,Ligue 1,Reims,24,184,74,GK
Axel Disasi,79,2,0,2.4,57,48,60,59,80,81,France,Premier League,Chelsea,26,190,86,CB
Tiago Djaló,76,0,0,0.0,80,42,61,64,76,75,Portugal,Serie A,Juventus,24,190,82,CB
Berat Djimsiti,78,0,1,0.8,65,39,59,48,80,79,Albania,Serie A,Atalanta,31,190,83,CB
Marko Dmitrović,78,0,0,0.0,76,77,78,78,37,79,Serbia,La Liga,Sevilla,32,194,91,GK
Ben Doak,66,0,0,0.0,89,56,53,70,28,52,Scotland,Premier League,Liverpool,18,176,64,RW
Ritsu Doan,78,7,2,5.0,78,64,74,83,40,60,Japan,Bundesliga,Freiburg,26,172,74,RM
Lewis Dobbin,65,1,0,0.3,79,62,57,68,41,52,England,Premier League,Everton,21,175,71,LM
Dodô,77,0,0,0.1,85,59,73,78,71,70,Brazil,Serie A,Fiorentina,25,166,68,RB
Danilho Doekhi,78,2,0,1.2,58,42,59,65,78,80,Holland,Bundesliga,Union Berlin,26,190,86,CB
Matt Doherty,73,1,0,0.8,67,65,69,69,72,73,Republic of Ireland,Premier League,Wolves,32,185,80,RB
Jamie Donley,64,0,0,0.0,66,60,60,64,35,54,England,Premier League,Tottenham,19,183,70,CAM
Gianluigi Donnarumma,89,0,0,0.0,90,84,73,90,52,87,Italy,Ligue 1,Paris S-G,25,196,90,GK
Patrick Dorgu,64,2,0,2.0,78,50,54,67,57,48,Denmark,Serie A,Lecce,19,175,60,LB
Niklas Dorsch,75,0,0,0.7,70,72,73,78,71,72,Germany,Bundesliga,Augsburg,26,175,76,CDM
Alberto Dossena,74,2,4,2.2,43,43,52,59,76,75,Italy,Serie A,Cagliari,25,195,77,CB
Abdoulaye Doucouré,75,7,1,8.8,57,78,72,74,77,82,Mali,Premier League,Everton,31,184,76,CAM
Cheick Doucouré,79,0,0,0.3,65,57,70,75,76,76,Mali,Premier League,Crystal Palace,24,180,73,CDM
Siriné Doucouré,66,1,3,0.9,57,62,49,61,25,73,Mali,Ligue 1,Lorient,22,193,75,ST
Désiré Doué,76,4,4,2.4,78,69,72,81,52,64,France,Ligue 1,Rennes,19,181,79,LM
Alfie Doughty,77,2,8,1.3,82,54,75,71,71,67,England,Premier League,Luton Town,24,183,68,LB
Ismaël Doukouré,72,0,0,0.3,66,42,60,64,72,71,France,Ligue 1,Strasbourg,21,183,80,CDM
Kamory Doumbia,73,6,5,4.2,69,67,70,76,57,59,Mali,Ligue 1,Brest,21,170,53,CAM
Artem Dovbyk,84,24,8,24.2,84,85,69,79,34,81,Ukraine,La Liga,Girona,27,189,78,ST
Damion Downs,65,2,0,1.0,68,65,51,60,24,58,United States,Bundesliga,Köln,20,192,80,ST
Tommy Doyle,74,0,0,0.4,67,65,74,75,65,67,England,Premier League,Wolves,22,172,73,CM
Dion Drena Beljo,72,2,0,3.0,59,71,49,68,31,73,Croatia,Bundesliga,Augsburg,22,195,84,ST
Tim Drexler,63,0,0,0.0,74,31,42,43,65,62,Germany,Bundesliga,Hoffenheim,19,186,75,CB
Domingos Duarte,74,0,0,0.3,47,36,57,52,75,75,Portugal,La Liga,Getafe,29,190,80,CB
Martin Dúbravka,76,0,0,0.0,76,74,78,78,38,75,Slovakia,Premier League,Newcastle Utd,35,190,80,GK
Marvin Ducksch,77,12,9,12.8,63,78,77,75,35,66,Germany,Bundesliga,Werder Bremen,30,188,79,ST
Ondrej Duda,74,1,4,2.2,65,71,73,78,64,63,Slovakia,Serie A,Hellas Verona,29,181,75,CM
Denzel Dumfries,82,4,4,2.3,83,66,73,74,78,88,Holland,Serie A,Inter,28,188,80,RB
Alfred Duncan,74,2,5,1.5,67,64,72,74,76,80,Ghana,Serie A,Fiorentina,31,178,78,CM
Lewis Dunk,79,3,1,3.1,41,52,68,65,80,80,England,Premier League,Brighton,32,192,88,CB
Jhon Durán,74,5,0,2.0,78,75,58,71,32,77,Colombia,Premier League,Aston Villa,20,187,70,ST
Julien Duranville,66,0,0,0.0,84,60,58,75,23,48,Belgium,Bundesliga,Dortmund,18,170,67,LM
Hugo Duro,79,13,2,11.5,73,79,67,76,47,75,Spain,La Liga,Valencia,24,177,70,ST
Paulo Dybala,87,13,9,10.6,80,85,84,89,41,65,Argentina,Serie A,Roma,30,177,75,CAM
Aron Dønnum,72,0,1,1.0,82,62,65,76,52,71,Norway,Ligue 1,Toulouse,26,178,78,RM
George Earthy,64,1,0,0.3,67,58,61,67,38,47,England,Premier League,West Ham,20,178,70,CAM
Festy Ebosele,69,0,0,0.8,90,45,58,73,62,74,Republic of Ireland,Serie A,Udinese,22,180,64,RB
Enzo Ebosse,71,0,0,0.0,62,35,56,64,72,71,Cameroon,Serie A,Udinese,25,185,75,CB
Tyronne Ebuehi,74,0,1,0.3,85,51,60,70,69,71,Nigeria,Serie A,Empoli,28,187,72,RB
Ederson,88,0,0,0.0,87,82,91,87,64,86,Brazil,Premier League,Manchester City,31,188,86,GK
Éderson,80,6,1,3.5,72,68,75,79,77,80,Brazil,Serie A,Atalanta,25,183,86,CM
Maximilian Eggestein,75,1,2,2.4,63,60,69,71,72,74,Germany,Bundesliga,Freiburg,27,181,82,CDM
Kingsley Ehizibue,70,0,1,1.3,88,57,62,69,65,75,Nigeria,Serie A,Udinese,29,189,78,RM
Hjalmar Ekdal,72,0,0,0.1,59,33,52,62,72,75,Sweden,Premier League,Burnley,25,188,76,CB
Emmanuel Ekong,63,0,0,0.0,74,64,47,63,24,57,Sweden,Serie A,Empoli,22,176,72,ST
Caleb Ekuban,70,4,1,2.9,81,69,64,68,28,80,Ghana,Serie A,Genoa,30,182,80,ST
Anthony Elanga,76,5,9,6.6,87,69,68,78,39,69,Sweden,Premier League,Nott'ham Forest,22,178,70,RM
Simon Elisor,68,1,0,2.3,74,67,58,68,36,68,France,Ligue 1,Metz,25,186,75,ST
Harvey Elliott,78,3,6,2.7,74,71,77,81,53,50,England,Premier League,Liverpool,21,168,64,CAM
Aritz Elustondo,79,0,1,0.3,64,39,64,61,80,77,Spain,La Liga,Real Sociedad,30,180,71,RB
Nico Elvedi,76,2,1,1.6,73,39,63,65,77,74,Switzerland,Bundesliga,Gladbach,27,189,84,CB
Breel Embolo,77,1,0,0.7,78,77,70,74,51,80,Switzerland,Ligue 1,Monaco,27,187,88,ST
Emanuel Emegha,73,8,1,10.8,81,71,56,69,30,74,Holland,Ligue 1,Strasbourg,21,195,82,ST
Emerson,78,1,0,0.2,79,63,75,78,73,65,Italy,Premier League,Tottenham,30,176,79,LB
Youssef En-Nesyri,83,16,2,10.8,82,82,63,77,36,80,Morocco,La Liga,Sevilla,27,188,78,ST
Julio Enciso,73,0,2,1.4,77,72,68,78,32,50,Paraguay,Premier League,Brighton,20,173,64,CAM
Wataru Endo,80,1,0,0.5,60,68,71,78,79,76,Japan,Premier League,Liverpool,31,178,77,CDM
Arne Engels,72,3,2,1.8,71,64,73,74,63,72,Belgium,Bundesliga,Augsburg,21,185,78,CM
Christian Eriksen,78,1,2,1.0,50,74,83,76,53,50,Denmark,Premier League,Manchester Utd,32,182,76,CM
Gonzalo Escalante,74,1,2,1.9,60,70,72,71,73,75,Argentina,La Liga,Cádiz,31,182,76,CM
Alfonso Espino,78,0,1,1.0,87,63,68,73,75,82,Uruguay,La Liga,Rayo Vallecano,32,172,71,LB
Pervis Estupiñán,80,2,3,1.0,78,57,75,79,77,75,Ecuador,Premier League,Brighton,26,175,79,LB
Jonny Evans,74,0,1,0.1,33,32,62,56,76,70,Northern Ireland,Premier League,Manchester Utd,36,188,77,CB
Eberechi Eze,81,11,4,9.1,78,81,78,84,49,69,England,Premier League,Crystal Palace,26,178,67,CAM
Giovanni Fabbian,75,5,2,4.2,67,72,72,75,68,63,Italy,Serie A,Bologna,21,186,75,CM
Łukasz Fabiański,77,0,0,0.0,77,78,68,76,49,77,Poland,Premier League,West Ham,39,190,83,GK
Nicolò Fagioli,76,0,2,0.4,76,63,78,79,70,68,Italy,Serie A,Juventus,23,178,72,CDM
Wladimiro Falcone,80,0,0,0.0,83,79,75,84,27,76,Italy,Serie A,Lecce,29,196,85,GK
Fali,73,0,0,0.8,43,53,67,57,70,87,Spain,La Liga,Cádiz,31,186,84,CB
Khalil Fayad,69,3,0,1.9,65,59,68,75,63,42,Morocco,Ligue 1,Montpellier,20,172,61,CM
Jacopo Fazzini,68,1,1,1.2,68,66,67,70,59,62,Italy,Serie A,Empoli,21,178,70,CM
Felipe,64,0,0,0.1,47,63,65,65,59,65,Brazil,Premier League,Nott'ham Forest,33,170,69,CDM
Luiz Felipe,77,0,0,0.1,72,29,61,68,77,75,Italy,La Liga,Betis,27,187,80,CB
João Félix,80,7,3,8.7,80,78,77,84,40,67,Portugal,La Liga,Barcelona,24,181,70,LW
Kiko Femenía,73,0,0,0.0,69,56,69,67,71,65,Spain,La Liga,Villarreal,33,174,61,RB
Evan Ferguson,74,6,0,4.6,72,76,60,71,20,70,Republic of Ireland,Premier League,Brighton,19,188,78,ST
Lewis Ferguson,79,6,3,5.4,75,78,75,80,73,82,Scotland,Serie A,Bologna,25,181,75,CM
Bruno Fernandes,87,10,8,10.0,70,85,88,83,65,75,Portugal,Premier League,Manchester Utd,30,179,69,CAM
Edimilson Fernandes,73,0,2,0.5,69,65,70,72,76,68,Switzerland,Bundesliga,Mainz 05,28,187,77,CB
Álex Fernández,76,0,1,0.3,49,70,78,71,67,63,Spain,La Liga,Cádiz,31,182,72,CM
Carlos Fernández,73,2,1,1.5,67,75,64,73,27,67,Spain,La Liga,Real Sociedad,28,186,71,ST
Enzo Fernández,82,3,2,6.2,69,73,82,80,73,77,Argentina,Premier League,Chelsea,23,178,78,CM
Raúl Fernández,70,0,0,0.0,68,70,67,70,38,69,Spain,La Liga,Granada,36,195,92,GK
Fernando,76,0,0,0.0,75,74,74,76,48,75,Spain,La Liga,Almería,34,183,88,GK
André Ferreira,70,0,0,0.0,70,66,66,72,38,70,Portugal,La Liga,Granada,28,193,79,GK
João Ferreira,68,0,1,0.1,76,41,55,61,64,66,Portugal,Serie A,Udinese,23,185,79,RB
Jordan Ferri,76,1,1,0.6,52,65,74,74,70,74,France,Ligue 1,Montpellier,32,173,73,CDM
Nacho Ferri,64,1,0,1.2,69,65,49,57,27,66,Spain,Bundesliga,Eint Frankfurt,19,192,79,ST
Max Finkgräfe,69,1,0,1.0,76,43,60,72,64,67,Germany,Bundesliga,Köln,20,183,71,LB
Vincenzo Fiorillo,67,0,0,0.0,69,63,60,68,38,65,Italy,Serie A,Salernitana,34,190,79,GK
Kilian Fischer,72,0,0,0.1,85,38,64,68,67,70,Germany,Bundesliga,Wolfsburg,23,182,77,RB
Mark Flekken,79,0,1,0.0,80,74,83,82,32,77,Holland,Premier League,Brentford,31,195,87,GK
Alessandro Florenzi,76,1,4,1.7,70,76,80,79,75,56,Italy,Serie A,Milan,33,173,67,RB
Phil Foden,88,19,8,10.3,86,86,85,90,57,63,England,Premier League,Manchester City,24,171,69,RW
Wes Foderingham,73,0,0,0.0,74,71,72,75,44,72,England,Premier League,Sheffield Utd,33,185,75,GK
Malick Fofana,72,3,0,1.8,87,62,64,79,35,42,Belgium,Ligue 1,Lyon,19,170,60,LW
Youssouf Fofana,81,4,4,5.0,69,68,74,77,78,80,France,Ligue 1,Monaco,25,185,74,CDM
Jonas Föhrenbach,72,0,0,0.5,78,39,57,63,69,75,Germany,Bundesliga,Heidenheim,28,184,82,LB
Thomas Foket,73,0,1,0.2,69,57,68,71,71,71,Belgium,Ligue 1,Reims,29,177,72,RB
Michael Folorunsho,76,5,1,4.0,73,76,74,75,71,82,Italy,Serie A,Hellas Verona,26,185,78,CAM
Emil Forsberg,79,2,1,1.4,65,72,81,81,36,61,Sweden,Bundesliga,RB Leipzig,32,177,76,CAM
Omari Forson,65,0,1,0.0,72,60,63,68,31,51,England,Premier League,Manchester Utd,20,179,67,RM
Héctor Fort,65,0,2,0.0,73,35,60,59,62,61,Spain,La Liga,Barcelona,18,185,78,RB
Lyle Foster,72,5,3,4.5,79,72,61,69,36,73,South Africa,Premier League,Burnley,24,185,70,ST
Dimitri Foulquier,74,0,0,0.6,75,59,66,68,72,74,France,La Liga,Valencia,31,183,72,RB
Juan Foyth,80,1,1,0.4,71,46,71,72,81,77,Argentina,La Liga,Villarreal,26,187,83,RB
Matheus França,69,0,1,0.4,77,70,61,75,36,65,Brazil,Premier League,Crystal Palace,20,184,67,CAM
Bartol Franjić,70,0,1,0.3,69,50,62,65,67,75,Croatia,Bundesliga,Darmstadt 98,24,186,77,CDM
Przemysław Frankowski,78,3,2,3.7,90,72,75,76,70,73,Poland,Ligue 1,Lens,29,175,70,RB
Davide Frattesi,81,6,3,7.1,80,74,78,81,71,71,Italy,Serie A,Inter,24,178,74,CM
Morten Frendrup,76,2,5,1.7,78,60,66,76,73,77,Denmark,Serie A,Genoa,23,178,70,CM
Remo Freuler,81,1,1,1.2,60,72,76,77,77,74,Switzerland,Serie A,Bologna,32,181,80,CDM
Marco Friedl,75,1,0,0.2,71,42,61,67,76,75,Austria,Bundesliga,Werder Bremen,26,187,82,CB
Marvin Friedrich,73,0,0,0.6,62,41,57,50,75,71,Germany,Bundesliga,Gladbach,28,193,84,CB
Jeremie Frimpong,84,9,7,8.2,93,62,75,86,75,69,Holland,Bundesliga,Leverkusen,23,172,65,RM
Chris Führich,79,8,7,6.6,83,69,72,85,51,59,Germany,Bundesliga,Stuttgart,26,181,70,LM
Angelo Fulgini,75,1,2,3.2,71,69,75,78,67,71,France,Ligue 1,Lens,28,182,77,CAM
Roberto Gagliardini,74,1,2,2.9,42,63,70,71,75,69,Italy,Serie A,Monza,30,190,77,CDM
Cody Gakpo,83,8,5,9.0,82,83,78,83,48,75,Holland,Premier League,Liverpool,25,189,76,ST
Conor Gallagher,81,5,7,4.2,73,75,78,78,77,81,England,Premier League,Chelsea,24,182,74,CM
Antonino Gallo,74,0,3,0.5,78,52,70,70,68,66,Italy,Serie A,Lecce,24,183,73,LB
Cristian Gamboa,70,0,1,0.1,77,47,64,68,66,69,Costa Rica,Bundesliga,Bochum,34,175,70,RB
Ignatius Ganago,72,0,0,0.4,80,71,61,74,34,65,Cameroon,Ligue 1,Nantes,25,176,78,ST
Aleix García,84,3,6,1.8,67,77,85,84,76,68,Spain,La Liga,Girona,27,173,68,CM
Álvaro García,79,6,1,6.2,88,69,75,78,51,43,Spain,La Liga,Rayo Vallecano,31,167,61,LM
Dani García,76,1,0,0.8,47,63,71,70,78,84,Spain,La Liga,Athletic Club,34,180,81,CM
Fran Garcia,78,1,5,0.5,89,49,69,77,71,69,Spain,La Liga,Real Madrid,25,169,63,LB
Raúl García,74,1,0,0.9,70,74,62,71,25,68,Spain,La Liga,Athletic Club,23,192,70,ST
Rubén García,78,3,2,2.3,76,76,79,78,45,52,Spain,La Liga,Osasuna,31,172,71,RM
Ulisses Garcia,72,0,0,0.5,79,47,65,68,65,74,Switzerland,Ligue 1,Marseille,28,182,73,LB
Unai García,74,1,0,0.1,57,42,62,57,76,75,Spain,La Liga,Osasuna,32,186,81,CB
Alejandro Garnacho,79,7,4,8.4,86,75,72,81,37,59,Argentina,Premier League,Manchester Utd,20,180,72,LM
James Garner,75,1,2,2.7,66,65,77,71,71,71,England,Premier League,Everton,23,182,80,CM
Luca Garritano,72,0,0,0.7,81,67,69,74,55,55,Italy,Serie A,Frosinone,30,172,67,CAM
Johan Gastien,74,0,0,0.3,42,63,66,69,71,74,France,Ligue 1,Clermont Foot,36,179,69,CDM
Federico Gatti,78,4,0,5.5,75,37,51,61,80,76,Italy,Serie A,Juventus,26,190,80,CB
Federico Gattoni,73,0,0,0.0,71,60,59,64,74,75,Argentina,La Liga,Sevilla,25,183,79,CB
Gavi,83,1,1,0.9,76,66,78,85,68,70,Spain,La Liga,Barcelona,20,173,70,CM
Paulo Gazzaniga,82,0,0,0.0,82,80,83,81,57,82,Argentina,La Liga,Girona,32,196,90,GK
Yann Gboho,75,3,2,1.2,76,68,70,79,36,58,France,Ligue 1,Toulouse,23,173,63,CAM
Dennis Geiger,74,0,0,0.0,45,53,76,79,64,58,Germany,Bundesliga,Hoffenheim,26,173,67,CDM
Francesco Gelli,66,0,0,0.7,61,59,64,69,49,47,Italy,Serie A,Frosinone,27,173,70,CM
Valentin Gendrey,73,2,3,1.6,79,34,59,66,68,73,France,Serie A,Lecce,24,179,69,RB
Denis Genreau,70,0,0,0.4,60,62,68,69,64,68,Australia,Ligue 1,Toulouse,25,175,75,CM
Yannick Gerhardt,76,2,1,1.9,69,70,74,75,70,77,Germany,Bundesliga,Wolfsburg,30,184,81,CM
Anwar El Ghazi,74,0,1,0.1,72,76,70,75,35,68,Holland,Bundesliga,Mainz 05,29,189,87,LM
Morgan Gibbs-White,79,5,10,6.9,75,74,79,80,57,69,England,Premier League,Nott'ham Forest,24,179,72,CAM
Samuel Gigot,77,3,0,2.4,62,38,62,60,77,81,France,Ligue 1,Marseille,30,187,83,CB
Bryan Gil,76,0,0,0.8,75,67,74,81,31,40,Spain,Premier League,Tottenham,23,175,65,LM
David Gil,71,0,0,0.0,72,72,71,71,47,69,Spain,La Liga,Cádiz,30,186,81,GK
Mario Gila,76,0,0,0.5,75,53,67,72,78,68,Spain,Serie A,Lazio,24,185,80,CB
Alfie Gilchrist,65,1,0,0.3,60,37,53,53,65,65,England,Premier League,Chelsea,20,184,78,CB
Billy Gilmour,75,0,1,1.0,60,58,75,76,70,62,Scotland,Premier League,Brighton,23,170,66,CDM
Benedikt Gimber,73,1,1,1.4,64,48,59,57,74,77,Germany,Bundesliga,Heidenheim,27,187,84,CB
Gvidas Gineitis,65,0,0,0.4,57,58,66,66,52,64,Lithuania,Serie A,Torino,20,191,75,CM
Matthias Ginter,82,0,2,1.4,54,59,71,66,85,75,Germany,Bundesliga,Freiburg,30,189,87,CB
Olivier Giroud,83,15,8,14.2,45,84,74,75,42,81,France,Serie A,Milan,37,193,91,ST
Klaus Gjasula,70,0,0,0.5,34,51,55,53,69,82,Albania,Bundesliga,Darmstadt 98,34,190,84,CB
Serge Gnabry,82,3,1,2.4,80,83,78,84,43,66,Germany,Bundesliga,Bayern Munich,29,176,77,RM
Ben Godfrey,75,0,0,1.7,81,44,61,61,74,76,England,Premier League,Everton,26,183,79,CB
Edoardo Goldaniga,72,0,0,0.5,53,34,50,56,73,76,Italy,Serie A,Cagliari,30,188,79,CB
Pierluigi Gollini,76,0,0,0.0,76,74,73,78,47,76,Italy,Serie A,Napoli,29,194,94,GK
André Gomes,65,1,0,0.3,66,62,61,67,41,64,Portugal,Premier League,Everton,19,182,80,GK
Angel Gomes,77,0,8,2.0,76,70,75,79,72,69,England,Ligue 1,Lille,24,168,56,CAM
João Gomes,78,2,1,1.7,70,65,72,74,76,75,Brazil,Premier League,Wolves,23,176,74,CDM
Joe Gomez,80,0,1,0.8,82,28,71,72,80,79,England,Premier League,Liverpool,27,188,77,CB
Moi Gómez,79,3,0,1.7,66,75,80,78,61,61,Spain,La Liga,Osasuna,30,176,73,CM
Sergio Gómez,74,0,1,0.2,69,70,75,77,69,65,Spain,Premier League,Manchester City,24,171,68,LB
Unai Gómez,72,2,0,1.5,67,65,67,74,37,62,Spain,La Liga,Athletic Club,21,183,74,CAM
Fabio González,69,0,0,0.0,58,59,62,68,67,68,Spain,La Liga,Las Palmas,27,176,69,CDM
Hugo González,66,0,1,0.0,70,67,64,68,34,52,Spain,La Liga,Valencia,21,177,73,RM
Nicolás González,80,12,2,10.4,85,76,73,83,45,62,Argentina,Serie A,Fiorentina,26,180,72,RW
Urko González,66,0,0,0.1,46,43,59,52,66,68,Spain,La Liga,Real Sociedad,23,189,83,CB
Anthony Gordon,82,11,10,10.2,91,78,76,81,49,71,England,Premier League,Newcastle Utd,23,183,72,LW
Kaide Gordon,62,0,0,0.0,71,57,54,67,25,44,England,Premier League,Liverpool,19,177,65,RW
Daniel Gore,61,0,0,0.0,72,50,60,67,48,54,England,Premier League,Manchester Utd,19,173,65,CM
Leon Goretzka,83,6,7,5.0,70,80,80,81,80,85,Germany,Bundesliga,Bayern Munich,29,189,82,CM
Mathieu Gorgelin,68,0,0,0.0,66,65,68,67,47,67,France,Ligue 1,Le Havre,34,187,83,GK
Robin Gosens,79,6,3,2.1,72,74,73,75,76,80,Germany,Bundesliga,Union Berlin,30,183,76,LB
Mario Götze,80,3,2,2.9,55,74,83,83,55,69,Germany,Bundesliga,Eint Frankfurt,32,176,72,CAM
Amine Gouiri,78,7,3,7.4,77,80,75,79,45,71,Algeria,Ligue 1,Rennes,24,181,80,LM
Jeffrey Gouweleeuw,76,1,0,1.3,67,58,66,64,78,71,Holland,Bundesliga,Augsburg,33,188,83,CB
Jonathan Gradit,78,1,0,0.3,69,29,63,69,78,79,France,Ligue 1,Lens,31,180,75,CB
Jens Grahl,66,0,1,0.0,70,60,58,70,44,63,Germany,Bundesliga,Eint Frankfurt,35,192,88,GK
Samuel Grandsir,69,1,1,2.6,87,61,64,72,46,65,France,Ligue 1,Le Havre,28,170,65,LM
Alberto Grassi,71,0,1,1.1,48,63,70,71,67,61,Italy,Serie A,Empoli,29,183,75,CM
Adrian Grbić,68,0,0,0.1,65,70,53,65,31,70,Austria,Ligue 1,Lorient,28,188,82,ST
Ivo Grbić,73,0,0,0.0,74,70,73,73,32,72,Croatia,Premier League,Sheffield Utd,28,195,93,GK
Jack Grealish,84,3,1,2.1,76,76,82,88,53,73,England,Premier League,Manchester City,29,180,81,LW
Mason Greenwood,79,8,6,8.8,83,80,75,81,36,60,England,La Liga,Getafe,22,181,70,RM
Michael Gregoritsch,78,7,4,9.2,53,79,70,70,42,76,Austria,Bundesliga,Freiburg,30,193,91,ST
Dominik Greif,70,0,0,0.0,69,70,74,68,18,69,Slovakia,La Liga,Mallorca,27,197,82,GK
Antoine Griezmann,88,16,6,12.3,80,88,87,89,59,75,France,La Liga,Atlético Madrid,33,176,73,ST
Vincenzo Grifo,80,8,8,7.7,69,77,82,81,43,64,Italy,Bundesliga,Freiburg,31,180,80,LM
Florian Grillitsch,74,1,6,1.2,66,60,76,75,76,68,Austria,Bundesliga,Hoffenheim,29,187,77,CB
Pascal Groß,81,4,10,6.5,50,77,85,80,73,74,Germany,Premier League,Brighton,33,181,78,CDM
Brajan Gruda,74,4,3,3.5,78,71,69,81,30,67,Germany,Bundesliga,Mainz 05,20,178,70,CAM
Ilia Gruev,73,0,0,0.0,67,48,69,71,70,68,Bulgaria,Bundesliga,Werder Bremen,24,185,77,CDM
Nemanja Gudelj,80,1,1,0.8,54,73,78,70,79,85,Serbia,La Liga,Sevilla,32,187,79,CB
Gonçalo Guedes,77,3,2,2.3,83,79,71,81,37,68,Portugal,La Liga,Villarreal,27,179,68,ST
Marc Guéhi,81,0,1,0.6,72,39,65,72,82,77,England,Premier League,Crystal Palace,24,182,82,CB
Javier Guerra,60,4,1,2.7,71,27,45,53,55,56,Bolivia,La Liga,Valencia,20,178,70,RB
Raphaël Guerreiro,82,3,0,2.4,63,78,85,88,76,56,Portugal,Bundesliga,Bayern Munich,30,170,71,LB
Evann Guessand,74,6,0,8.4,80,72,56,70,27,70,Côte d'Ivoire,Ligue 1,Nice,23,188,79,ST
Ander Guevara,75,1,0,0.7,43,63,72,71,72,69,Spain,La Liga,Alavés,27,180,73,CM
Pape Gueye,75,1,0,0.4,58,60,70,71,74,76,Senegal,Ligue 1,Marseille,25,189,79,CM
Morgan Guilavogui,72,2,0,1.6,80,70,66,71,32,70,Guinea,Ligue 1,Lens,26,189,82,ST
Hugo Guillamón,73,1,0,0.2,57,53,67,64,74,71,Spain,La Liga,Valencia,24,178,62,CDM
Bruno Guimarães,85,7,8,4.8,68,75,83,84,79,83,Brazil,Premier League,Newcastle Utd,26,182,74,CDM
Serhou Guirassy,84,28,3,20.8,69,86,71,80,39,79,Guinea,Bundesliga,Stuttgart,28,187,82,ST
Marc Guiu,67,1,0,0.8,54,70,50,63,27,65,Spain,La Liga,Barcelona,18,187,82,ST
Péter Gulácsi,82,0,0,0.0,82,82,75,81,43,83,Hungary,Bundesliga,RB Leipzig,34,191,86,GK
Manuel Gulde,73,1,0,1.1,57,40,51,56,75,69,Germany,Bundesliga,Freiburg,33,184,82,CB
Arda Güler,78,6,0,1.4,72,73,80,82,52,50,Turkey,La Liga,Real Madrid,19,175,70,CAM
Robert Gumny,71,0,0,0.2,76,42,60,69,67,67,Poland,Bundesliga,Augsburg,26,182,71,RB
İlkay Gündoğan,87,5,9,7.3,62,83,85,87,74,73,Germany,La Liga,Barcelona,33,180,80,CM
Christian Günter,78,1,2,0.5,78,58,70,71,74,82,Germany,Bundesliga,Freiburg,31,184,83,LB
Malo Gusto,80,0,6,0.9,88,49,75,78,73,75,France,Premier League,Chelsea,21,178,67,RB
Miguel Gutiérrez,80,2,7,2.8,81,64,76,80,75,72,Spain,La Liga,Girona,23,180,73,LB
Albert Guðmundsson,80,14,4,9.9,87,79,70,83,37,72,Iceland,Serie A,Genoa,27,178,78,ST
Joško Gvardiol,83,4,1,3.1,79,69,74,78,83,83,Croatia,Premier League,Manchester City,22,185,80,LB
Emmanuel Gyasi,74,1,2,3.5,79,64,67,74,48,70,Ghana,Serie A,Empoli,30,181,70,RM
Erling Haaland,91,27,5,29.2,88,92,70,81,45,88,Norway,Premier League,Manchester City,24,195,94,ST
Nicolas Haas,69,0,0,0.1,76,61,68,71,63,67,Switzerland,Serie A,Empoli,28,181,74,CM
Janik Haberer,74,1,1,0.9,58,67,71,74,63,71,Germany,Bundesliga,Union Berlin,30,186,79,CM
Robin Hack,76,10,2,3.9,80,74,70,79,33,60,Germany,Bundesliga,Gladbach,26,178,72,LM
Antwoine Hackford,60,0,0,0.0,86,59,38,60,18,53,England,Premier League,Sheffield Utd,20,177,70,ST
Jaouen Hadjam,68,0,0,0.0,75,52,59,68,65,71,Algeria,Ligue 1,Nantes,21,185,83,LB
Ianis Hagi,74,0,2,2.8,63,72,74,75,36,62,Romania,La Liga,Alavés,25,182,72,CAM
Amadou Haidara,80,2,1,1.1,66,72,79,81,72,69,Mali,Bundesliga,RB Leipzig,26,175,72,CM
Massadio Haïdara,74,0,1,0.1,76,60,64,71,73,78,Mali,Ligue 1,Lens,31,179,76,CB
Oualid El Hajjam,70,0,0,0.4,68,45,64,66,69,72,Morocco,Ligue 1,Le Havre,33,181,72,RB
Achraf Hakimi,84,4,5,4.2,91,76,80,80,75,78,Morocco,Ligue 1,Paris S-G,25,181,73,RB
