Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Nation,League,Team,Age,Height,Weight,Position
Alexandru Mățan,68,86,61,66,73,38,51,Romania,MLS,Columbus Crew,25,"165cm / 5'5""",61kg / 134lb,CAM
Christian Mathenia,68,69,68,52,70,45,67,Germany,Bundesliga 2,1. FC Nürnberg,32,"190cm / 6'3""",89kg / 196lb,GK
Núrio Fortuna,68,74,63,64,69,67,67,Angola,1A Pro League,KAA Gent,29,"177cm / 5'10""",76kg / 168lb,CB
Henning Matriciani,68,77,35,51,54,63,72,Germany,3. Liga,SV Waldhof,24,"187cm / 6'2""",80kg / 176lb,RB
Jannik Mause,68,81,68,52,61,46,72,Germany,Bundesliga 2,Kaiserslautern,26,"188cm / 6'2""",82kg / 181lb,ST
Camilo Mayada,68,74,64,69,70,62,70,Uruguay,Libertadores,Peñarol,33,"175cm / 5'9""",72kg / 159lb,RB
Fally Mayulu,68,76,69,51,67,24,71,France,EFL Championship,Bristol City,22,"193cm / 6'4""",78kg / 172lb,ST
Bradley Mazikou,68,76,32,60,62,63,58,France,CSSL,Servette FC,28,"172cm / 5'8""",68kg / 150lb,LB
Olivier Mbaizo,68,80,36,58,69,63,65,Cameroon,MLS,Philadelphia,27,"178cm / 5'10""",70kg / 154lb,RB
Jean-Manuel Mbom,68,70,60,66,69,64,72,Germany,3F Superliga,Viborg FF,24,"185cm / 6'1""",80kg / 176lb,CM
Dax McCarty,68,43,53,62,63,65,72,United States,MLS,Atlanta United,37,"175cm / 5'9""",68kg / 150lb,CDM
Jack McGlynn,68,70,53,71,68,56,60,United States,MLS,Philadelphia,21,"180cm / 5'11""",73kg / 161lb,CM
Sean McLoughlin,68,54,31,53,57,68,73,Republic of Ireland,EFL Championship,Hull City,27,"191cm / 6'3""",89kg / 196lb,CB
Medrano,68,82,46,58,66,63,56,Spain,LALIGA HYPERMOTION,CD Tenerife,24,"172cm / 5'8""",63kg / 139lb,LB
Anis Mehmeti,68,74,62,61,73,54,65,Albania,EFL Championship,Bristol City,23,"180cm / 5'11""",63kg / 139lb,LM
Danilo Veiga,68,69,57,59,64,68,70,Portugal,Liga Portugal,Estrela Amadora,21,"183cm / 6'0""",83kg / 183lb,RB
Emiliano Méndez,68,37,49,60,63,64,84,Argentina,Primera División,Sarmiento,35,"186cm / 6'1""",80kg / 176lb,CDM
William Mendieta,68,57,67,68,69,31,61,Paraguay,Libertadores,Libertad,35,"179cm / 5'10""",77kg / 170lb,CAM
Hamza Mendyl,68,87,58,57,69,61,68,Morocco,1A Pro League,OH Leuven,26,"179cm / 5'10""",73kg / 161lb,LM
Phillip Menzel,68,69,67,66,68,22,67,Germany,3. Liga,Saarbrücken,26,"192cm / 6'4""",84kg / 185lb,GK
Mehdi Merghem,68,75,65,65,70,50,69,France,Liga Portugal,Farense,27,"178cm / 5'10""",72kg / 159lb,RM
Billal Messaoudi,68,80,68,58,72,28,61,Algeria,1A Pro League,KV Kortrijk,26,"184cm / 6'0""",76kg / 168lb,ST
Metinho,68,69,54,60,68,67,64,Brazil,Eredivisie,Sparta Rotterdam,21,"178cm / 5'10""",69kg / 152lb,CDM
Melle Meulensteen,68,68,56,63,65,66,72,Holland,Serie BKT,Sampdoria,25,"185cm / 6'1""",77kg / 170lb,CDM
August Mikkelsen,68,80,59,62,74,34,63,Norway,Eliteserien,FK Bodø/Glimt,23,"167cm / 5'6""",62kg / 137lb,LW
Dardo Miloc,68,60,46,59,63,66,76,Argentina,Primera División,Barracas Central,33,"177cm / 5'10""",74kg / 163lb,CDM
Marko Milovanović,68,59,69,50,64,27,67,Serbia,LALIGA HYPERMOTION,UD Almería,21,"196cm / 6'5""",85kg / 187lb,ST
Kevin Minda,68,65,50,64,63,66,69,Ecuador,Sudamericana,U. Católica,25,"172cm / 5'8""",72kg / 159lb,CDM
Luis Miranda,68,82,63,57,70,27,58,Colombia,Sudamericana,Deportes Tolima,27,"175cm / 5'9""",70kg / 154lb,RM
Demetri Mitchell,68,90,62,63,67,59,67,England,EFL League One,Exeter City,27,"176cm / 5'9""",70kg / 154lb,LM
Billy Mitchell,68,66,54,64,68,65,72,England,EFL Championship,Millwall,23,"178cm / 5'10""",75kg / 165lb,CM
Dimitar Mitov,68,68,65,58,71,61,69,Bulgaria,Scottish Prem,Aberdeen,27,"188cm / 6'2""",76kg / 168lb,GK
Stefan Mitrović,68,77,69,61,71,35,63,Serbia,Serie A Enilive,Hellas Verona,22,"181cm / 5'11""",75kg / 165lb,LM
Jan Mlakar,68,79,66,60,68,35,67,Slovenia,Serie BKT,Pisa,25,"183cm / 6'0""",78kg / 172lb,LM
Vasile Mogoș,68,66,61,61,61,66,79,Romania,SUPERLIGA,CFR 1907 Cluj,31,"186cm / 6'1""",84kg / 185lb,RB
Tobias Mohr,68,79,64,66,67,56,68,Germany,Bundesliga 2,FC Schalke 04,29,"182cm / 6'0""",82kg / 181lb,LM
Adrien Monfray,68,64,51,59,61,67,82,France,Ligue 2 BKT,ESTAC Troyes,33,"185cm / 6'1""",76kg / 168lb,CB
Gonzalo Morales,68,73,66,49,65,25,68,Argentina,Primera División,Unión,21,"178cm / 5'10""",83kg / 183lb,ST
Alfredo Morales,68,54,58,65,66,62,77,United States,MLS,SJ Earthquakes,34,"183cm / 6'0""",77kg / 170lb,CDM
Jon Morcillo,68,79,68,66,67,48,63,Spain,LALIGA HYPERMOTION,Albacete BP,25,"183cm / 6'0""",72kg / 159lb,LM
Berto,68,79,65,60,71,53,74,Cape Verde Islands,SUPERLIGA,FC Univ. Cluj,28,"177cm / 5'10""",80kg / 176lb,LM
Ariel Mosór,68,66,33,45,48,68,75,Poland,PKO BP Ekstraklasa,Raków,21,"184cm / 6'0""",82kg / 181lb,CB
Aimen Moueffek,68,65,56,64,72,65,66,Morocco,Ligue 1 McDonald's,AS Saint-Étienne,23,"179cm / 5'10""",71kg / 157lb,CM
Lionel Mpasi,68,69,67,67,67,45,66,Congo DR,Ligue 2 BKT,Rodez AF,30,"182cm / 6'0""",78kg / 172lb,GK
Bartosz Mrozek,68,69,67,63,70,38,69,Poland,PKO BP Ekstraklasa,Lech Poznań,24,"191cm / 6'3""",82kg / 181lb,GK
Filip Mrzljak,68,68,48,58,65,65,71,Croatia,ISL,Punjab FC,31,"177cm / 5'10""",72kg / 159lb,CDM
Rui Modesto,68,85,61,61,66,55,63,Angola,Serie A Enilive,Udinese,24,"180cm / 5'11""",72kg / 159lb,RM
Arbnor Mucolli,68,73,64,64,72,52,59,Albania,Allsvenskan,IFK Göteborg,24,"175cm / 5'9""",70kg / 154lb,LW
Ngal'ayel Mukau,68,64,40,57,65,68,65,Congo DR,Ligue 1 McDonald's,LOSC Lille,19,"188cm / 6'2""",72kg / 159lb,CDM
Beni,68,67,58,63,67,65,64,Angola,Liga Portugal,Casa Pia AC,22,"180cm / 5'11""",78kg / 172lb,CM
Agustín Mulet,68,71,51,66,70,62,72,Argentina,Primera División,Ind. Rivadavia,24,"183cm / 6'0""",74kg / 163lb,CM
Tobias Müller,68,63,31,49,56,68,73,Germany,Bundesliga 2,1. FC Magdeburg,30,"188cm / 6'2""",83kg / 183lb,CB
Paul Mullin,68,76,69,56,66,39,72,England,EFL League One,Wrexham,29,"178cm / 5'10""",71kg / 157lb,ST
Jorge Félix,68,66,65,65,69,29,53,Spain,PKO BP Ekstraklasa,Piast Gliwice,33,"175cm / 5'9""",76kg / 168lb,LM
Josh Murphy,68,87,64,63,70,29,53,England,EFL Championship,Portsmouth,29,"173cm / 5'8""",67kg / 148lb,LM
Visar Musliu,68,71,34,48,62,68,72,North Macedonia,Bundesliga 2,SC Paderborn 07,29,"187cm / 6'2""",80kg / 176lb,CB
Alex Muyl,68,78,59,62,66,62,80,United States,MLS,Nashville SC,28,"180cm / 5'11""",79kg / 174lb,RM
Joel Mvuka,68,91,57,59,72,41,46,Norway,Ligue 2 BKT,FC Lorient,21,"178cm / 5'10""",66kg / 146lb,RM
Moussa N'Diaye,68,76,27,59,71,65,63,Senegal,1A Pro League,RSC Anderlecht,22,"181cm / 5'11""",70kg / 154lb,LB
Nikolas Nartey,68,69,49,67,73,66,68,Denmark,Bundesliga,VfB Stuttgart,24,"185cm / 6'1""",81kg / 179lb,CM
João Muniz,68,69,32,47,44,71,65,Portugal,Liga Portugal,Sporting CP,19,"187cm / 6'2""",73kg / 161lb,CB
Kyle Naughton,68,54,51,63,66,70,65,England,EFL Championship,Swansea City,35,"179cm / 5'10""",73kg / 161lb,CB
Federico Navarro,68,74,44,61,69,68,57,Argentina,MLS,Chicago Fire FC,24,"170cm / 5'7""",69kg / 152lb,CDM
Raúl Navarro,68,65,57,63,67,65,66,Spain,LALIGA HYPERMOTION,Burgos CF,30,"167cm / 5'6""",62kg / 137lb,RB
Duckens Nazon,68,76,68,51,67,24,63,Haiti,Trendyol Süper Lig,Kayserispor,30,"181cm / 5'11""",79kg / 174lb,ST
Alassane Ndao,68,76,61,62,70,31,54,Senegal,Trendyol Süper Lig,Konyaspor,27,"176cm / 5'9""",70kg / 154lb,RM
Dorgeles Nene,68,85,71,61,73,37,55,Mali,Ö. Bundesliga,RB Salzburg,21,"174cm / 5'9""",65kg / 143lb,ST
Loïc Nestor,68,48,45,54,55,68,79,France,Ligue 2 BKT,Grenoble Foot 38,35,"179cm / 5'10""",70kg / 154lb,CB
Roman Neustädter,68,32,53,63,64,68,72,Russia,1A Pro League,KVC Westerlo,36,"190cm / 6'3""",81kg / 179lb,CB
Serge-Junior M. Ngouali,68,60,58,64,67,65,73,Gabon,Allsvenskan,Brommapojkarna,32,"175cm / 5'9""",75kg / 165lb,CDM
Ibrahima Niane,68,78,66,55,67,19,61,Senegal,Ligue 1 McDonald's,Angers SCO,25,"187cm / 6'2""",73kg / 161lb,ST
Lee Nicholls,68,67,68,61,68,41,66,England,EFL League One,Huddersfield,31,"191cm / 6'3""",85kg / 187lb,GK
Roland Niczuly,68,67,65,70,70,32,68,Romania,SUPERLIGA,Sepsi OSK,28,"181cm / 5'11""",76kg / 168lb,GK
Julian Niehues,68,59,54,59,64,67,77,Germany,Bundesliga,Heidenheim,23,"195cm / 6'5""",88kg / 194lb,CDM
Lasse Nielsen,68,65,33,53,53,66,79,Denmark,Trendyol Süper Lig,Göztepe,36,"185cm / 6'1""",82kg / 181lb,CB
Luciano Nieto,68,72,65,71,72,39,66,Argentina,Sudamericana,U. Católica,33,"175cm / 5'9""",80kg / 176lb,CM
Carlos Nieto,68,69,56,61,61,65,74,Spain,LALIGA HYPERMOTION,Real Zaragoza,28,"179cm / 5'10""",74kg / 163lb,LB
Calem Nieuwenhof,68,76,61,63,69,65,68,Australia,Scottish Prem,Hearts,23,"181cm / 5'11""",73kg / 161lb,CM
Kristoffer Nordfeldt,68,66,65,66,66,50,67,Sweden,Allsvenskan,AIK,35,"188cm / 6'2""",87kg / 192lb,GK
Rhys Norrington-Davies,68,68,44,61,64,65,66,Wales,EFL Championship,Sheffield Utd,25,"181cm / 5'11""",70kg / 154lb,LB
Will Norris,68,69,67,69,69,44,65,England,EFL Championship,Portsmouth,31,"195cm / 6'5""",81kg / 179lb,GK
Ryan Nyambe,68,78,35,56,65,64,73,Namibia,EFL Championship,Derby County,26,"178cm / 5'10""",70kg / 154lb,RB
Benjamin Nygren,68,69,67,65,69,22,63,Sweden,3F Superliga,FC Nordsjælland,23,"184cm / 6'0""",77kg / 170lb,ST
Mark O'Hara,68,71,66,64,68,64,74,Scotland,Scottish Prem,St. Mirren,28,"188cm / 6'2""",80kg / 176lb,CM
Samuel Obeng,68,84,69,50,61,24,81,Ghana,Liga Portugal,Casa Pia AC,27,"183cm / 6'0""",74kg / 163lb,ST
Jáder Obrian,68,87,64,59,69,36,63,Colombia,MLS,Austin FC,29,"165cm / 5'5""",63kg / 139lb,RM
Marvin Obuz,68,72,64,62,70,29,63,Germany,Bundesliga 2,1. FC Köln,22,"182cm / 6'0""",75kg / 165lb,RM
Oh Seung Hoon,68,69,66,61,69,45,71,Korea Republic,K League 1,Daegu FC,36,"192cm / 6'4""",79kg / 174lb,GK
Kanji Okunuki,68,84,57,58,74,33,47,Japan,Bundesliga 2,1. FC Nürnberg,25,"171cm / 5'7""",61kg / 134lb,LM
Olaetxea,68,64,69,64,66,64,71,Spain,LALIGA HYPERMOTION,R. Sporting,31,"179cm / 5'10""",75kg / 165lb,CDM
Andrigo,68,75,63,67,71,49,62,Brazil,K League 1,Jeonbuk Hyundai,29,"173cm / 5'8""",70kg / 154lb,RW
Cleiton Silva,68,75,68,62,68,22,74,Brazil,ISL,East Bengal,37,"175cm / 5'9""",73kg / 161lb,ST
Alexandre Olliero,68,68,63,66,70,46,67,France,Ligue 1 McDonald's,Stade de Reims,28,"193cm / 6'4""",85kg / 187lb,GK
Simon Olsson,68,63,52,67,70,55,73,Sweden,Eredivisie,sc Heerenveen,27,"185cm / 6'1""",81kg / 179lb,CM
Odei,68,50,34,47,48,70,73,Spain,ISL,FC Goa,34,"180cm / 5'11""",71kg / 157lb,CB
Jérôme Onguéné,68,68,38,48,58,67,68,Cameroon,Bundesliga,Frankfurt,26,"186cm / 6'1""",78kg / 172lb,CB
Thijs Oosting,68,68,69,66,67,58,65,Holland,Eredivisie,FC Groningen,24,"176cm / 5'9""",70kg / 154lb,ST
Kwadwo Opoku,68,85,68,55,74,36,65,Ghana,MLS,CF Montréal,23,"172cm / 5'8""",70kg / 154lb,ST
Aaron Opoku,68,88,56,62,72,39,61,Germany,Bundesliga 2,Kaiserslautern,25,"185cm / 6'1""",71kg / 157lb,RM
Pedro Ortiz,68,59,57,61,65,59,68,Spain,LALIGA EA SPORTS,Sevilla FC,24,"184cm / 6'0""",76kg / 168lb,CM
Sergio Ortuño,68,63,63,62,66,63,61,Spain,LALIGA HYPERMOTION,CD Eldense,25,"180cm / 5'11""",75kg / 165lb,CM
Leandro Otormín,68,73,68,70,66,27,59,Uruguay,Sudamericana,Wanderers,28,"172cm / 5'8""",74kg / 163lb,LW
Yassin Oukili,68,60,67,64,67,59,79,Morocco,Eredivisie,RKC Waalwijk,23,"195cm / 6'5""",88kg / 194lb,CDM
Walid Ould-Chikh,68,76,71,64,68,56,65,Holland,Bundesliga 2,Braunschweig,24,"186cm / 6'1""",75kg / 165lb,CAM
Luca Oyen,68,78,60,65,71,39,49,Belgium,1A Pro League,KRC Genk,21,"174cm / 5'9""",69kg / 152lb,LM
Berke Özer,68,66,68,65,71,24,65,Turkey,Trendyol Süper Lig,Eyüpspor,24,"190cm / 6'3""",73kg / 161lb,GK
Levin Öztunalı,68,78,64,67,70,48,67,Germany,Bundesliga 2,Hamburger SV,28,"184cm / 6'0""",81kg / 179lb,RW
Marko Pajač,68,74,62,66,61,59,67,Croatia,Serie A Enilive,Genoa,31,"185cm / 6'1""",69kg / 152lb,LB
Tobías Palacio,68,79,39,57,61,68,72,Argentina,Sudamericana,Argentinos Jrs.,17,"185cm / 6'1""",78kg / 172lb,CB
Giuseppe Panico,68,79,67,62,69,38,55,Italy,Serie BKT,Carrarese Calcio,27,"178cm / 5'10""",70kg / 154lb,ST
Renato Pantalon,68,53,32,40,40,68,77,Croatia,Liga Portugal,Rio Ave FC,26,"194cm / 6'4""",86kg / 190lb,CB
Joaquín Papaleo,68,67,66,64,67,40,68,Argentina,Primera División,Instituto,30,"186cm / 6'1""",76kg / 168lb,GK
Jayson Papeau,68,83,59,62,74,38,75,France,SUPERLIGA,FC Rapid 1923,28,"175cm / 5'9""",75kg / 165lb,LM
Daniel Paraschiv,68,75,67,55,67,32,76,Romania,LALIGA HYPERMOTION,R. Oviedo,25,"185cm / 6'1""",76kg / 168lb,ST
Ezequiel Parnisari,68,33,27,48,47,68,67,Argentina,Sudamericana,Unión La Calera,34,"184cm / 6'0""",79kg / 174lb,CB
Alfonso Parot,68,66,59,61,63,65,79,Chile,Sudamericana,Uni. Católica,34,"180cm / 5'11""",74kg / 163lb,LB
Troy Parrott,68,78,65,61,71,44,65,Republic of Ireland,Eredivisie,AZ,22,"185cm / 6'1""",72kg / 159lb,ST
Juan Patiño,68,60,24,48,47,67,76,Paraguay,Sudamericana,S. Ameliano,34,"180cm / 5'11""",88kg / 194lb,CB
Charlie Patino,68,60,48,71,68,65,65,England,LALIGA HYPERMOTION,RC Deportivo,20,"182cm / 6'0""",75kg / 165lb,CM
Louis Patris,68,75,49,60,61,67,70,Belgium,1A Pro League,STVV,23,"187cm / 6'2""",75kg / 165lb,RB
Luis Paz,68,59,53,60,60,67,75,Colombia,Sudamericana,América de Cali,36,"174cm / 5'9""",76kg / 168lb,CDM
Aynsley Pears,68,70,64,65,72,45,65,England,EFL Championship,Blackburn Rovers,26,"186cm / 6'1""",77kg / 170lb,GK
Matty Pearson,68,50,47,45,51,67,78,England,EFL League One,Huddersfield,31,"190cm / 6'3""",78kg / 172lb,CB
Marvin Peersman,68,71,48,56,63,68,74,Belgium,Eredivisie,FC Groningen,33,"184cm / 6'0""",69kg / 152lb,CB
Tomáš Pekhart,68,59,68,53,55,33,78,Czech Republic,PKO BP Ekstraklasa,Legia Warszawa,35,"194cm / 6'4""",82kg / 181lb,ST
Pietro Pellegri,68,56,68,54,67,21,61,Italy,Serie A Enilive,Empoli,23,"189cm / 6'2""",87kg / 192lb,ST
Théo Pellenard,68,50,37,64,65,69,69,France,Ligue 1 McDonald's,AJ Auxerre,30,"182cm / 6'0""",78kg / 172lb,CB
Henrique Araújo,68,70,66,56,65,26,70,Portugal,Liga Portugal,Arouca,22,"182cm / 6'0""",78kg / 172lb,ST
Elías Pereyra,68,80,32,54,65,63,60,Argentina,Primera División,Godoy Cruz,25,"172cm / 5'8""",68kg / 150lb,LB
Kevin Pérez,68,80,57,62,70,45,52,Colombia,Sudamericana,Deportes Tolima,27,"170cm / 5'7""",69kg / 152lb,CAM
César Pérez,68,69,59,60,69,52,62,Chile,Sudamericana,Defensa,21,"176cm / 5'9""",66kg / 146lb,CM
Dino Perić,68,53,35,51,58,67,75,Croatia,Liga Hrvatska,Dinamo Zagreb,30,"198cm / 6'6""",84kg / 185lb,CB
Mauro Perković,68,76,30,52,61,67,75,Croatia,Liga Hrvatska,Dinamo Zagreb,21,"185cm / 6'1""",78kg / 172lb,CB
Aleks Petkov,68,60,37,42,47,67,77,Bulgaria,PKO BP Ekstraklasa,Śląsk Wrocław,25,"193cm / 6'4""",85kg / 187lb,CB
Lukas Petkov,68,75,66,65,71,56,63,Bulgaria,Bundesliga 2,SV Elversberg,23,"183cm / 6'0""",76kg / 168lb,CM
Dimitri Petratos,68,64,70,68,68,49,71,Australia,ISL,Mohun Bagan SG,31,"176cm / 5'9""",82kg / 181lb,ST
Raoul Petretta,68,78,36,62,68,63,71,Italy,MLS,Toronto FC,27,"175cm / 5'9""",70kg / 154lb,LB
Jacopo Petriccione,68,46,51,69,68,55,62,Italy,Serie BKT,Catanzaro,29,"176cm / 5'9""",75kg / 165lb,CM
Radosav Petrović,68,35,54,59,58,68,76,Serbia,Liga Cyprus,APOEL FC,35,"193cm / 6'4""",83kg / 183lb,CDM
Leonel Picco,68,54,58,61,63,65,73,Argentina,Primera División,Platense,25,"188cm / 6'2""",79kg / 174lb,CDM
Carl Piergianni,68,39,31,45,46,67,85,England,EFL League One,Stevenage,32,"185cm / 6'1""",78kg / 172lb,CB
Santiago Pierotti,68,67,67,65,71,61,67,Argentina,Serie A Enilive,Lecce,23,"189cm / 6'2""",83kg / 183lb,RW
Balthazar Pierret,68,66,52,59,64,68,70,France,Serie A Enilive,Lecce,24,"186cm / 6'1""",82kg / 181lb,CDM
Iván Pillud,68,59,58,65,63,69,70,Argentina,Primera División,Central Córdoba,38,"180cm / 5'11""",82kg / 181lb,RB
César Pinares,68,67,64,70,70,52,69,Chile,Sudamericana,Uni. Católica,33,"176cm / 5'9""",74kg / 163lb,CAM
Donovan Pines,68,72,22,39,46,68,77,United States,EFL League One,Barnsley,26,"195cm / 6'5""",91kg / 201lb,CB
Guilherme Ramos,68,60,33,46,50,67,78,Portugal,Bundesliga 2,Hamburger SV,27,"191cm / 6'3""",86kg / 190lb,CB
František Plach,68,66,66,65,66,33,67,Slovakia,PKO BP Ekstraklasa,Piast Gliwice,32,"192cm / 6'4""",80kg / 176lb,GK
Przemysław Płacheta,68,91,60,60,69,39,55,Poland,EFL Championship,Oxford United,26,"178cm / 5'10""",72kg / 159lb,LM
Tin Plavotić,68,40,29,46,42,67,77,Croatia,Ö. Bundesliga,FK Austria Wien,27,"197cm / 6'6""",92kg / 203lb,CB
Pleguezuelo,68,78,35,56,67,67,67,Spain,EFL Championship,Plymouth Argyle,27,"180cm / 5'11""",70kg / 154lb,CB
Dennis Politic,68,78,65,62,72,31,71,Romania,SUPERLIGA,FC Dinamo 1948,24,"185cm / 6'1""",78kg / 172lb,LW
Julian Pollersbeck,68,69,64,68,68,37,68,Germany,Bundesliga 2,Jahn Regensburg,30,"195cm / 6'5""",87kg / 192lb,GK
Mattie Pollock,68,57,23,43,46,67,78,England,EFL Championship,Watford,22,"190cm / 6'3""",80kg / 176lb,CB
Paxton Pomykal,68,73,57,70,72,61,67,United States,MLS,FC Dallas,24,"173cm / 5'8""",73kg / 161lb,CM
Alexandru Pop,68,81,68,57,68,22,68,Romania,SUPERLIGA,SC Oțelul Galați,24,"180cm / 5'11""",78kg / 172lb,ST
Mihai Popa,68,66,66,62,72,41,63,Romania,SUPERLIGA,CFR 1907 Cluj,23,"190cm / 6'3""",82kg / 181lb,GK
Laurențiu Popescu,68,68,67,67,69,31,67,Romania,SUPERLIGA,Univ. Craiova,27,"180cm / 5'11""",68kg / 150lb,GK
Janio Pósito,68,62,70,50,64,22,52,Peru,Sudamericana,ADT,34,"179cm / 5'10""",79kg / 174lb,ST
Nicolai Poulsen,68,59,54,68,70,65,79,Denmark,3F Superliga,AGF,31,"180cm / 5'11""",79kg / 174lb,CM
Tomás Pozzo,68,77,61,66,72,45,53,Argentina,Primera División,Godoy Cruz,23,"168cm / 5'6""",71kg / 157lb,RW
Gianluca Prestianni,68,87,60,57,76,35,46,Argentina,Liga Portugal,SL Benfica,18,"166cm / 5'5""",63kg / 139lb,RM
Maxence Prévot,68,68,69,68,67,36,68,France,1A Pro League,OH Leuven,27,"187cm / 6'2""",81kg / 179lb,GK
Alex Pritchard,68,59,67,69,72,52,45,England,Trendyol Süper Lig,Sivasspor,31,"168cm / 5'6""",62kg / 137lb,CAM
Kai Pröger,68,82,70,56,74,38,73,Germany,Bundesliga 2,Jahn Regensburg,32,"177cm / 5'10""",73kg / 161lb,ST
Martín Prost,68,65,68,56,66,31,65,Argentina,Sudamericana,Nacional Potosí,36,"178cm / 5'10""",75kg / 165lb,ST
Ruben Providence,68,83,63,57,73,29,56,France,Eredivisie,Almere City FC,23,"178cm / 5'10""",66kg / 146lb,LM
Nicolás Quagliata,68,68,60,68,73,38,42,Uruguay,Primera División,Central Córdoba,25,"171cm / 5'7""",63kg / 139lb,CAM
Daniel Queipo,68,81,65,62,68,30,47,Spain,LALIGA HYPERMOTION,R. Sporting,22,"168cm / 5'6""",64kg / 141lb,LM
Rubert Quijada,68,63,33,55,50,69,71,Venezuela,Libertadores,Caracas FC,35,"187cm / 6'2""",76kg / 168lb,CB
Álvaro Quiroga,68,69,57,69,65,62,66,Bolivia,Libertadores,The Strongest,29,"176cm / 5'9""",72kg / 159lb,CDM
Bogdan Racovițan,68,75,32,38,44,68,77,Romania,PKO BP Ekstraklasa,Raków,24,"185cm / 6'1""",80kg / 176lb,CB
Joe Rafferty,68,65,38,61,63,65,72,Republic of Ireland,EFL League One,Rotherham Utd,30,"180cm / 5'11""",74kg / 163lb,RB
Michał Rakoczy,68,77,65,65,72,41,62,Poland,PKO BP Ekstraklasa,Cracovia,22,"174cm / 5'9""",71kg / 157lb,CAM
Nicolás Ramírez,68,57,36,50,58,69,69,Chile,Libertadores,Barcelona SC,27,"182cm / 6'0""",80kg / 176lb,CB
Eric Ramírez,68,82,67,60,66,31,57,Argentina,Primera División,Huracán,27,"170cm / 5'7""",68kg / 150lb,ST
Christian Ramirez,68,60,68,55,65,30,73,United States,MLS,Columbus Crew,33,"188cm / 6'2""",85kg / 187lb,ST
Jiovany Ramos,68,57,33,56,54,68,72,Panama,Libertadores,Alianza Lima,27,"180cm / 5'11""",78kg / 172lb,CB
Adam Randell,68,76,62,66,70,65,71,England,EFL Championship,Plymouth Argyle,23,"175cm / 5'9""",69kg / 152lb,CM
Nicolai Rapp,68,54,42,55,59,69,72,Germany,Bundesliga 2,Karlsruher SC,27,"186cm / 6'1""",81kg / 179lb,CDM
Tobias Raschl,68,64,55,65,71,58,67,Germany,Bundesliga 2,Kaiserslautern,24,"177cm / 5'10""",73kg / 161lb,CM
Henrich Ravas,68,67,67,64,69,37,70,Slovakia,PKO BP Ekstraklasa,Cracovia,27,"195cm / 6'5""",87kg / 192lb,GK
Christiaan Ravych,68,46,28,51,58,68,65,Belgium,1A Pro League,Cercle Brugge,22,"192cm / 6'4""",75kg / 165lb,CB
Kenny Prince Redondo,68,92,62,58,70,47,60,Germany,Bundesliga 2,Kaiserslautern,30,"180cm / 5'11""",71kg / 157lb,LM
Johannes Reichert,68,66,32,50,61,68,73,Germany,Bundesliga 2,SSV Ulm 1846,33,"184cm / 6'0""",82kg / 181lb,CB
Dominik Reimann,68,68,66,73,68,45,70,Germany,Bundesliga 2,1. FC Magdeburg,27,"186cm / 6'1""",82kg / 181lb,GK
Ferro,68,52,42,54,59,68,73,Portugal,Liga Portugal,Estrela Amadora,27,"191cm / 6'3""",83kg / 183lb,CB
Erlend Dahl Reitan,68,79,47,58,65,62,74,Norway,Eliteserien,Rosenborg BK,27,"180cm / 5'11""",74kg / 163lb,RB
Nicolai Remberg,68,69,53,63,68,62,76,Germany,Bundesliga,Holstein Kiel,24,"187cm / 6'2""",88kg / 194lb,CM
Eric Remedi,68,42,49,59,61,66,80,Argentina,Libertadores,San Lorenzo,29,"169cm / 5'7""",77kg / 170lb,CDM
Andrés Reyes,68,72,33,40,47,67,79,Colombia,MLS,Red Bulls,25,"191cm / 6'3""",81kg / 179lb,CB
Jordan Rhodes,68,61,70,53,61,39,59,Scotland,EFL League One,Blackpool,34,"185cm / 6'1""",71kg / 157lb,ST
Brayan Riascos,68,80,67,62,66,36,76,Colombia,CSL,Qingdao W. Coast,29,"178cm / 5'10""",88kg / 194lb,ST
Clemens Riedel,68,54,28,48,56,69,68,Germany,Bundesliga 2,SV Darmstadt 98,21,"186cm / 6'1""",73kg / 161lb,CB
Andy Rinomhota,68,80,54,59,65,67,80,England,EFL Championship,Cardiff City,27,"175cm / 5'9""",72kg / 159lb,CDM
Renaud Ripart,68,64,67,66,68,64,80,France,Ligue 2 BKT,ESTAC Troyes,31,"181cm / 5'11""",73kg / 161lb,RM
Birk Risa,68,74,56,61,65,67,74,Norway,MLS,New York City FC,26,"188cm / 6'2""",79kg / 174lb,CB
Marvin Rittmüller,68,88,43,57,64,61,69,Germany,Bundesliga 2,Braunschweig,25,"178cm / 5'10""",79kg / 174lb,RB
Ciro Rius,68,69,61,67,70,57,60,Argentina,Primera División,Platense,35,"175cm / 5'9""",70kg / 154lb,RM
Rigoberto Rivas,68,79,62,63,69,34,56,Honduras,Trendyol Süper Lig,Hatayspor,26,"178cm / 5'10""",73kg / 161lb,LM
José Rivera,68,69,72,62,68,48,64,Peru,Libertadores,Universitario,27,"171cm / 5'7""",74kg / 163lb,ST
Harold Rivera,68,71,59,68,67,63,67,Colombia,Sudamericana,América de Cali,30,"175cm / 5'9""",74kg / 163lb,CDM
Tyler Roberts,68,70,64,63,72,38,67,Wales,EFL League One,Northampton,25,"180cm / 5'11""",75kg / 165lb,CAM
